t_sec,force_x,force_y,force_z,torque_x,torque_y,torque_z,imputed,trial_id,smoothed_sigma_s
8.586,-0.0563707910343136,-1.2370189906340568e-135,8.467992512603773e-50,2.6573604769576384e-184,2.8097382245757892e-210,-1.793507265886919e-172,0,pressure_servo_20250708_145013.db3_export,0.05
8.636,-0.6867368213356033,-5.543934490125277e-135,3.79509094914409e-49,5.929372687956658e-185,1.7041923789717566e-210,7.114773656045277e-111,0,pressure_servo_20250708_145013.db3_export,0.05
8.686,-3.077740906378477,-9.140402717237614e-135,6.257047172095399e-49,4.867125489315053e-186,3.802567184437017e-211,8.66756870965438e-110,0,pressure_servo_20250708_145013.db3_export,0.05
8.736,-5.074336898050087,-5.543934490125277e-135,3.79509094914409e-49,1.817839471215538e-191,-1.8161773728706202e-115,3.8845347952462243e-109,0,pressure_servo_20250708_145013.db3_export,0.05
8.786,-3.077740906378477,-1.2370189906340568e-135,8.467992512603773e-50,-6.122994307021309e-123,-2.212556987656264e-114,6.404515143697214e-109,0,pressure_servo_20250708_145013.db3_export,0.05
8.836,-0.6867368213356033,-1.0154070214393322e-136,6.95095153744266e-51,-7.459334116670887e-122,-9.915992469079188e-114,3.8845347952462243e-109,0,pressure_servo_20250708_145013.db3_export,0.05
8.886,-0.0563707910343136,1.7855850429279135e-158,-1.577792488690103e-118,-3.343041618268375e-121,-8.494285037106823e-41,8.66756870965438e-110,0,pressure_servo_20250708_145013.db3_export,0.05
8.936,-1.509385741772938e-74,8.48317217298357e-159,-1.295130942629243e-119,-5.511743824874848e-121,-1.0348157616504777e-39,7.114773656045277e-111,0,pressure_servo_20250708_145013.db3_export,0.05
8.986,4.69324073996111e-69,4.4793260823506565e-159,7.972291419452281e-133,-3.343041618268375e-121,37.56262846113876,8.632722568943469e-38,0,pressure_servo_20250708_145013.db3_export,0.05
9.036,5.717566504507679e-68,9.994727461119409e-160,3.572933132010922e-132,-7.459334116670887e-122,457.6064943759714,1.051680905605824e-36,0,pressure_servo_20250708_145013.db3_export,0.05
9.086,2.5624361739991166e-67,8.204171898922298e-161,5.890770853535637e-132,-6.122994307021309e-123,2050.850024360508,4.713306820136859e-36,0,pressure_servo_20250708_145013.db3_export,0.05
9.136,4.2247430776464617e-67,8.726794570292227e-197,3.572933132010922e-132,-4.4388465597301815e-107,3381.2800581790457,7.770929209695622e-36,0,pressure_servo_20250708_145013.db3_export,0.05
9.186,2.5624362076780652e-67,1.0591883855942733e-195,7.972291419452281e-133,-5.407622244288768e-106,2050.850024360508,4.713306820136859e-36,0,pressure_servo_20250708_145013.db3_export,0.05
9.236,5.717568013893421e-68,4.746070864549749e-195,6.544055301950606e-134,-2.42352823069231e-105,457.6064943759714,1.051680905605824e-36,0,pressure_servo_20250708_145013.db3_export,0.05
