t_sec,angular_x,angular_y,angular_z,linear_x,linear_y,linear_z,imputed,trial_id,smoothed_sigma_s
9.686,1.11713058910514,-2.6185233522200644e-16,0.777387196145723,13114793128199.943,-1.4031630423334018,2.296304305588377e-12,0,pressure_servo_20250708_145013.db3_export,0.05
9.736,0.8186310385337607,-4.9625512191137264e-17,0.3304940093158779,7954524127898.075,-1.022840838994594,1.7419346539687982e-13,0,pressure_servo_20250708_145013.db3_export,0.05
9.786,0.3492291867416869,-3.313844775063778e-18,0.0639733190647794,1774894242552.4722,-0.4344550740608734,4.034072964501526e-29,0,pressure_servo_20250708_145013.db3_export,0.05
9.836,0.0677229526599812,5.604635286041826e-20,0.0048391838275387,145692191457.06735,-0.0840597809693594,7.845771205184399e-30,0,pressure_servo_20250708_145013.db3_export,0.05
9.886,0.0051289292202927,0.0,0.0,0.0005690258799334,-0.0063568468812195,5.95165924488367e-31,0,pressure_servo_20250708_145013.db3_export,0.05
9.936,0.0,0.0,0.0,0.0,0.0,0.0,0,pressure_servo_20250708_145013.db3_export,0.05
9.986,0.0,0.0,0.0,0.0,0.0,0.0,0,pressure_servo_20250708_145013.db3_export,0.05
10.036,0.0,0.0,0.0,0.0,0.0,0.0,0,pressure_servo_20250708_145013.db3_export,0.05
10.086,0.0,0.0,0.0,0.0,0.0,0.0,0,pressure_servo_20250708_145013.db3_export,0.05
10.136,0.0,0.0,0.0,0.0,0.0,0.0,0,pressure_servo_20250708_145013.db3_export,0.05
10.186,0.0,0.0,0.0,0.0,0.0,0.0,0,pressure_servo_20250708_145013.db3_export,0.05
10.236,0.0,0.0,0.0,0.0,0.0,0.0,0,pressure_servo_20250708_145013.db3_export,0.05
10.286,0.0,0.0,0.0,0.0,0.0,0.0,0,pressure_servo_20250708_145013.db3_export,0.05
10.336,0.0,0.0,0.0,0.0,0.0,0.0,0,pressure_servo_20250708_145013.db3_export,0.05
10.386,0.0,0.0,0.0,0.0,0.0,0.0,0,pressure_servo_20250708_145013.db3_export,0.05
10.436,0.0,0.0,0.0,0.0,0.0,0.0,0,pressure_servo_20250708_145013.db3_export,0.05
10.486,0.0,0.0,0.0,0.0,0.0,0.0,0,pressure_servo_20250708_145013.db3_export,0.05
10.536,0.0,0.0,0.0,0.0,0.0,0.0,0,pressure_servo_20250708_145013.db3_export,0.05
10.586,0.0,0.0,0.0,0.0,0.0,0.0,0,pressure_servo_20250708_145013.db3_export,0.05
10.636,0.0,0.0,0.0,0.0,0.0,0.0,0,pressure_servo_20250708_145013.db3_export,0.05
10.686,0.0,0.0,0.0,0.0,0.0,0.0,0,pressure_servo_20250708_145013.db3_export,0.05
10.736,0.0,0.0,0.0,0.0,0.0,0.0,0,pressure_servo_20250708_145013.db3_export,0.05
10.786,0.0,0.0,0.0,0.0,0.0,0.0,0,pressure_servo_20250708_145013.db3_export,0.05
