t_sec,data_0,data_1,data_2,imputed,trial_id,smoothed_sigma_s
12.236,452.00000000000006,373.8875343463909,477.112465653609,1,pressure_servo_20250708_145013.db3_export,0.05
12.286,452.00000000000006,373.9252336536472,476.5747663463528,1,pressure_servo_20250708_145013.db3_export,0.05
12.336,452.00221652408766,373.88897744637177,476.11102255362806,0,pressure_servo_20250708_145013.db3_export,0.05
12.386,452.0314358394865,373.7307892092027,475.7692107907972,1,pressure_servo_20250708_145013.db3_export,0.05
12.436,452.1794567454857,373.4997537195458,475.5035710665856,0,pressure_servo_20250708_145013.db3_export,0.05
12.486,452.5,373.2657179197432,475.28143583948633,1,pressure_servo_20250708_145013.db3_export,0.05
12.536,452.82054325451423,373.0930531588742,475.17945674548565,0,pressure_servo_20250708_145013.db3_export,0.05
12.586,452.9685641605135,373.0471537592296,475.25,1,pressure_servo_20250708_145013.db3_export,0.05
12.636,452.99889173795617,373.1794567454857,475.32054325451423,0,pressure_servo_20250708_145013.db3_export,0.05
12.686,453.0157179197432,373.4842820802567,475.21856416051344,1,pressure_servo_20250708_145013.db3_export,0.05
12.736,453.0908366347866,373.7319231438152,475.0,0,pressure_servo_20250708_145013.db3_export,0.05
12.786,453.2657179197432,373.7342820802567,474.7814358394864,1,pressure_servo_20250708_145013.db3_export,0.05
12.836,453.5,373.6772402213981,474.6805650075296,0,pressure_servo_20250708_145013.db3_export,0.05
12.886,453.7342820802568,373.7657179197432,474.7657179197432,1,pressure_servo_20250708_145013.db3_export,0.05
12.936,453.9091633652133,373.9113798893009,474.9113798893009,0,pressure_servo_20250708_145013.db3_export,0.05
12.986,453.9842820802568,373.9842820802568,474.9842820802568,1,pressure_servo_20250708_145013.db3_export,0.05
13.036,454.0011082620438,373.9977834759124,475.0,0,pressure_servo_20250708_145013.db3_export,0.05
13.086,454.0314358394865,373.9842820802568,475.0157179197432,1,pressure_servo_20250708_145013.db3_export,0.05
13.136,454.17945674548577,373.911379889301,475.0875118486552,0,pressure_servo_20250708_145013.db3_export,0.05
13.186,454.5,373.7657179197432,475.2185641605136,1,pressure_servo_20250708_145013.db3_export,0.05
13.236,454.82054325451423,373.6794567454857,475.2319231438152,0,pressure_servo_20250708_145013.db3_export,0.05
13.286,454.9685641605135,373.7657179197432,475.0,1,pressure_servo_20250708_145013.db3_export,0.05
13.336,454.99778347591234,373.9091633652133,474.7680768561848,0,pressure_servo_20250708_145013.db3_export,0.05
13.386,455.0,373.9528462407703,474.7814358394865,1,pressure_servo_20250708_145013.db3_export,0.05
13.436,455.0,373.8183267304266,474.9124881513448,0,pressure_servo_20250708_145013.db3_export,0.05
13.486,455.0,373.4842820802567,474.9842820802568,1,pressure_servo_20250708_145013.db3_export,0.05
13.536,455.00221652408754,373.0908366347867,474.99778347591234,0,pressure_servo_20250708_145013.db3_export,0.05
13.586,455.0314358394864,372.7971537592297,474.9842820802567,1,pressure_servo_20250708_145013.db3_export,0.05
13.636,455.17945674548565,372.68278153161714,474.911379889301,0,pressure_servo_20250708_145013.db3_export,0.05
13.686,455.50000000000006,372.7814358394865,474.7657179197432,1,pressure_servo_20250708_145013.db3_export,0.05
13.736,455.8205432545144,373.0011082620438,474.67834848344194,0,pressure_servo_20250708_145013.db3_export,0.05
13.786,455.9685641605136,373.2342820802567,474.75,1,pressure_servo_20250708_145013.db3_export,0.05
13.836,455.9977834759124,373.4102716272571,474.8227597786018,0,pressure_servo_20250708_145013.db3_export,0.05
13.886,456.00000000000006,373.5,474.75,1,pressure_servo_20250708_145013.db3_export,0.05
13.936,456.00000000000006,373.588620110699,474.6783484834419,0,pressure_servo_20250708_145013.db3_export,0.05
13.986,456.00000000000006,373.75,474.7657179197432,1,pressure_servo_20250708_145013.db3_export,0.05
14.036,456.00000000000006,373.9080551031696,474.9102716272571,0,pressure_servo_20250708_145013.db3_export,0.05
14.086,456.00000000000006,373.9528462407703,474.9685641605135,1,pressure_servo_20250708_145013.db3_export,0.05
14.136,456.00000000000006,373.8183267304266,474.90916336521326,0,pressure_servo_20250708_145013.db3_export,0.05
14.186,456.00000000000006,373.4842820802567,474.75,1,pressure_servo_20250708_145013.db3_export,0.05
14.236,456.00000000000006,373.08972837274285,474.58972837274285,0,pressure_servo_20250708_145013.db3_export,0.05
14.286,456.00000000000006,372.7814358394865,474.5157179197432,1,pressure_servo_20250708_145013.db3_export,0.05
14.336,453.9785300320889,370.94063445155217,472.3976269028907,0,pressure_servo_20250708_145013.db3_export,0.05
14.386,429.3519843562679,350.7473279476156,446.7708696865112,1,pressure_servo_20250708_145013.db3_export,0.05
14.436,318.9834637607597,260.57422284731354,331.9246788475449,0,pressure_servo_20250708_145013.db3_export,0.05
5.925,7.376017796646364,706.5203912244897,705.1055275857184,0,pressure_servo_20250725_110821.db3_export,0.05
5.975,20.47182847032944,950.9769828943652,947.9428929071848,1,pressure_servo_20250725_110821.db3_export,0.05
6.025,37.82702421204494,1005.5226213430036,1000.580826827584,1,pressure_servo_20250725_110821.db3_export,0.05
6.075,56.12500000000009,1010.0,1003.09375,1,pressure_servo_20250725_110821.db3_export,0.05
6.125,74.50000000000004,1010.0,1001.125,1,pressure_servo_20250725_110821.db3_export,0.05
6.175,92.87499999999996,1010.0,999.15625,1,pressure_servo_20250725_110821.db3_export,0.05
6.225,111.25,1010.0,997.1875,1,pressure_servo_20250725_110821.db3_export,0.05
6.275,129.62500000000006,1010.0,995.21875,1,pressure_servo_20250725_110821.db3_export,0.05
6.325,148.00000000000006,1010.0,993.25,1,pressure_servo_20250725_110821.db3_export,0.05
6.375,166.37500000000003,1010.0,991.28125,1,pressure_servo_20250725_110821.db3_export,0.05
6.425,184.75,1010.0,989.3125,1,pressure_servo_20250725_110821.db3_export,0.05
6.475,203.125,1010.0,987.34375,1,pressure_servo_20250725_110821.db3_export,0.05
6.525,221.5,1010.0,985.375,1,pressure_servo_20250725_110821.db3_export,0.05
6.575,239.87500000000003,1010.0,983.40625,1,pressure_servo_20250725_110821.db3_export,0.05
6.625,258.24999999999994,1010.0,981.4375,1,pressure_servo_20250725_110821.db3_export,0.05
6.675,276.6249999999999,1010.0,979.46875,1,pressure_servo_20250725_110821.db3_export,0.05
6.725,294.99999999999994,1010.0,977.5,1,pressure_servo_20250725_110821.db3_export,0.05
6.775,313.37499999999994,1010.0,975.53125,1,pressure_servo_20250725_110821.db3_export,0.05
6.825,331.75,1010.0,973.5625,1,pressure_servo_20250725_110821.db3_export,0.05
